City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
363,dunedin,-45.8742,170.5036,12.67,61,71,0.89,NZ,1689397962
364,el granada,37.5027,-122.4694,21.56,88,100,8.75,US,1689397962
365,mournies,35.4764,24.0092,27.22,65,0,0.0,GR,1689397962
366,kapa'a,22.0752,-159.319,27.99,79,20,4.63,US,1689397963
367,conception bay south,47.4999,-52.9981,18.53,94,97,4.1,CA,1689397963
368,mossel bay,-34.1831,22.146,16.96,59,21,4.06,ZA,1689397963
369,patong,7.8961,98.2966,31.12,99,98,7.21,TH,1689397963
370,el calafate,-50.3408,-72.2768,-4.26,72,32,1.86,AR,1689397964
371,kokpekty,48.75,82.4,29.57,29,76,7.79,KZ,1689397964
372,codrington,-38.2667,141.9667,11.84,58,74,6.08,AU,1689397964
373,georgiyevka,43.0369,74.7114,28.02,28,0,2.0,KZ,1689397965
374,maintirano,-18.0667,44.0167,22.8,64,50,2.71,MG,1689397965
375,collie,-33.3667,116.15,14.14,40,0,2.8,AU,1689397966
376,fada,9.5667,8.3,20.33,90,99,0.88,NG,1689397966
377,kidal,18.4411,1.4078,29.43,45,60,2.45,ML,1689397966
378,pacific grove,36.6177,-121.9166,16.23,94,100,3.6,US,1689397967
379,howard springs,-12.497,131.047,30.95,28,16,0.91,AU,1689397967
380,westport,41.1415,-73.3579,25.04,95,75,2.24,US,1689397967
381,new norfolk,-42.7826,147.0587,10.72,55,15,4.32,AU,1689397968
382,cabedelo,-6.9811,-34.8339,24.37,84,2,3.46,BR,1689397706
383,cidreira,-30.1811,-50.2056,9.12,79,97,2.02,BR,1689397968
384,chonchi,-42.6128,-73.8092,2.84,95,69,1.19,CL,1689397969
385,terrell,32.736,-96.2753,33.61,60,0,3.6,US,1689397970
386,ust-nera,64.5667,143.2,29.56,30,22,3.26,RU,1689397970
387,port-gentil,-0.7193,8.7815,21.65,89,18,4.46,GA,1689397970
388,san juan de miraflores,-12.1629,-76.9635,20.29,81,78,3.59,PE,1689397971
389,tarawa,1.419,172.984,30.05,70,75,1.54,KI,1689397766
390,villa hernandarias,-31.231,-59.985,7.92,86,62,2.9,AR,1689397971
391,derzhavinsk,51.1,66.3167,20.57,51,78,10.02,KZ,1689397972
392,galliano,29.4422,-90.2992,28.0,81,76,3.9,US,1689397972
393,punta del este,-34.9667,-54.95,7.71,86,75,2.68,UY,1689397973
394,lhokseumawe,5.1801,97.1507,29.85,57,98,1.72,ID,1689397766
395,miagao,10.6442,122.2352,27.5,87,100,8.05,PH,1689397973
396,lamu,-2.2717,40.902,22.12,83,12,6.4,KE,1689397973
397,pionerskiy,54.9508,20.2275,14.91,76,60,3.48,RU,1689397974
398,sao joao da barra,-21.6403,-41.0511,16.43,77,0,5.25,BR,1689397974
399,tomiya,38.3931,140.8861,22.79,90,100,3.64,JP,1689397955
400,birobidzhan,48.8,132.95,16.49,95,100,1.99,RU,1689397975
401,leava,-14.3,-178.1667,26.77,82,54,9.18,WF,1689397975
402,borazjan,29.2666,51.2159,37.16,29,0,2.13,IR,1689397975
403,pampas,-12.4,-74.9,8.75,88,85,0.66,PE,1689397976
404,drayton valley,53.2168,-114.9854,14.5,85,80,1.79,CA,1689397976
405,gisborne,-38.6533,178.0042,13.5,78,45,1.58,NZ,1689397453
406,lodwar,3.1191,35.5973,24.93,57,85,7.54,KE,1689397977
407,karratha,-20.7377,116.8463,26.42,29,0,9.56,AU,1689397977
408,burang,30.25,81.1667,15.99,61,72,2.02,CN,1689397977
409,ghanzi,-21.5667,21.7833,8.42,63,0,4.73,BW,1689397978
410,corner brook,48.9667,-57.9484,18.09,99,99,1.41,CA,1689397978
411,zav'yalovo,56.7847,53.3776,14.66,93,100,3.37,RU,1689397978
412,tabou,4.423,-7.3528,24.39,85,13,1.31,CI,1689397979
413,fisterra,42.9049,-9.2629,17.64,77,75,6.27,ES,1689397979
414,wanning,18.8003,110.3967,34.68,53,91,0.96,CN,1689397980
415,castillos,-34.1667,-53.8333,5.23,86,100,2.04,UY,1689397980
416,kalampaka,39.7044,21.6269,27.89,48,0,0.56,GR,1689397980
417,abadeh,31.1608,52.6506,27.46,12,0,4.19,IR,1689397980
418,sao vicente,-23.9631,-46.3919,17.21,26,57,1.08,BR,1689397981
419,acarau,-2.8856,-40.12,24.94,85,33,5.83,BR,1689397981
420,houlton,46.1262,-67.8403,20.23,88,40,3.09,US,1689397981
421,balikpapan,-1.2675,116.8289,27.55,89,40,4.63,ID,1689397576
422,i-n-salah,27.1935,2.4607,30.47,12,0,5.84,DZ,1689397982
423,zhoushan,30.0108,122.2047,27.92,83,100,7.72,CN,1689397696
424,antsiranana,-12.2787,49.2917,24.19,53,5,7.81,MG,1689397983
425,tongouson,5.0214,120.1328,28.68,80,96,7.66,PH,1689397983
426,partur,19.6,76.2167,27.66,67,100,6.77,IN,1689397983
427,kingscliff,-28.2667,153.5667,21.89,46,100,5.14,AU,1689397984
428,baikonur,45.6167,63.3167,27.79,22,0,4.96,KZ,1689397984
429,san luis,-33.295,-66.3356,4.58,71,60,0.74,AR,1689397984
430,amga,60.8953,131.9608,19.45,71,100,2.49,RU,1689397985
431,sandnessjoen,66.0217,12.6316,11.29,77,100,5.38,NO,1689397985
432,lihue,21.9789,-159.3672,27.58,73,20,4.63,US,1689397985
433,adam,22.3756,57.5233,30.35,49,32,2.7,OM,1689397986
434,tengrela,10.4869,-6.4097,21.82,96,64,1.9,CI,1689397986
435,celestun,20.8667,-90.4,28.0,78,21,6.19,MX,1689397986
436,bembereke,10.2283,2.6634,21.58,94,84,2.09,BJ,1689397986
437,kousseri,12.0769,15.0306,27.99,53,100,4.04,CM,1689397987
438,merowe,18.4833,31.8167,32.69,11,74,5.13,SD,1689397987
439,troitsko-pechorsk,62.7084,56.1964,18.15,42,88,4.09,RU,1689397988
440,san miguel,13.4833,-88.1833,25.99,74,21,1.15,SV,1689397868
441,long beach,33.767,-118.1892,27.2,75,0,3.09,US,1689397920
442,krasnyy kut,50.95,46.9667,16.04,97,100,5.08,RU,1689397988
